"","Chr","Start","End","Band"
"1",1,0,2300000,"p36.33"
"2",1,2300000,5300000,"p36.32"
"3",1,5300000,7100000,"p36.31"
"4",1,7100000,9200000,"p36.23"
"5",1,9200000,12600000,"p36.22"
"6",1,12600000,16100000,"p36.21"
"7",1,16100000,20300000,"p36.13"
"8",1,20300000,23800000,"p36.12"
"9",1,23800000,27800000,"p36.11"
"10",1,27800000,30000000,"p35.3"
"11",1,30000000,32200000,"p35.2"
"12",1,32200000,34400000,"p35.1"
"13",1,34400000,39600000,"p34.3"
"14",1,39600000,43900000,"p34.2"
"15",1,43900000,46500000,"p34.1"
"16",1,46500000,51300000,"p33"
"17",1,51300000,56200000,"p32.3"
"18",1,56200000,58700000,"p32.2"
"19",1,58700000,60900000,"p32.1"
"20",1,60900000,68700000,"p31.3"
"21",1,68700000,69500000,"p31.2"
"22",1,69500000,84700000,"p31.1"
"23",1,84700000,88100000,"p22.3"
"24",1,88100000,92000000,"p22.2"
"25",1,92000000,94500000,"p22.1"
"26",1,94500000,99400000,"p21.3"
"27",1,99400000,102000000,"p21.2"
"28",1,102000000,107000000,"p21.1"
"29",1,107000000,111600000,"p13.3"
"30",1,111600000,115900000,"p13.2"
"31",1,115900000,117600000,"p13.1"
"32",1,117600000,120700000,"p12"
"33",1,120700000,121100000,"p11.2"
"34",1,121100000,124300000,"p11.1"
"35",1,124300000,128000000,"q11"
"36",1,128000000,142400000,"q12"
"37",1,142400000,148000000,"q21.1"
"38",1,148000000,149600000,"q21.2"
"39",1,149600000,153300000,"q21.3"
"40",1,153300000,154800000,"q22"
"41",1,154800000,157300000,"q23.1"
"42",1,157300000,158800000,"q23.2"
"43",1,158800000,163800000,"q23.3"
"44",1,163800000,165500000,"q24.1"
"45",1,165500000,169100000,"q24.2"
"46",1,169100000,171200000,"q24.3"
"47",1,171200000,174300000,"q25.1"
"48",1,174300000,178600000,"q25.2"
"49",1,178600000,184000000,"q25.3"
"50",1,184000000,189000000,"q31.1"
"51",1,189000000,192100000,"q31.2"
"52",1,192100000,197500000,"q31.3"
"53",1,197500000,205300000,"q32.1"
"54",1,205300000,209500000,"q32.2"
"55",1,209500000,212100000,"q32.3"
"56",1,212100000,222100000,"q41"
"57",1,222100000,222700000,"q42.11"
"58",1,222700000,225100000,"q42.12"
"59",1,225100000,228800000,"q42.13"
"60",1,228800000,232700000,"q42.2"
"61",1,232700000,234600000,"q42.3"
"62",1,234600000,241700000,"q43"
"63",1,241700000,247249719,"q44"
"64",10,0,3000000,"p15.3"
"65",10,3000000,3800000,"p15.2"
"66",10,3800000,6700000,"p15.1"
"67",10,6700000,12300000,"p14"
"68",10,12300000,17300000,"p13"
"69",10,17300000,19900000,"p12.33"
"70",10,19900000,20500000,"p12.32"
"71",10,20500000,22800000,"p12.31"
"72",10,22800000,24100000,"p12.2"
"73",10,24100000,28300000,"p12.1"
"74",10,28300000,31400000,"p11.23"
"75",10,31400000,34500000,"p11.22"
"76",10,34500000,38800000,"p11.21"
"77",10,38800000,40300000,"p11.1"
"78",10,40300000,42100000,"q11.1"
"79",10,42100000,46100000,"q11.21"
"80",10,46100000,50100000,"q11.22"
"81",10,50100000,53300000,"q11.23"
"82",10,53300000,61200000,"q21.1"
"83",10,61200000,64800000,"q21.2"
